NID,CONTRIBUTOR,TOTAL
636,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
2097,"NNP GZC Car '3RED', Person 'B'",1
1144,"NNP GZC Car '1WHITE', Person 'B'",4
1300,"NNP GZC Car '6WHITE', Person 'B'",1
1384,"NNP GZC Car '1PURPLE', Person 'D'",4
2021,"NNP GZC Car '6RED', Person 'A'",1
606,"NNP GZC Car '1RED', Person 'B'",3
1856,"NNP GZC Car '1RED', Person 'B'",1
1485,"NNP GZC Car '1PURPLE', Person 'D'",4
1659,"NNP GZC Car '11WHITE', Person 'A'",5
987,"NNP GZC Car '1WHITE', Person 'C'",2
1044,"NNP GZC Car '1BLUE', Person 'C'",2
289,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
943,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
144,"NNP GZC Car '3WHITE', Person 'A'",2
1390,"NNP GZC Car '5WHITE', Person 'A'",1
1656,"NNP GZC Car '15WHITE', Person 'C'",1
1961,"NNP GZC Car '1RED', Person 'A'",1
712,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1968,"NNP GZC Car '1RED', Person 'B'",2
1787,"NNP GZC Car '8WHITE', Person 'A'",1
1928,"NNP GZC Car '8WHITE', Person 'A'",1
1506,"NNP GZC Car '1PURPLE', Person 'B'",2
2168,"NNP GZC Car '1PURPLE', Person 'D'",2
681,"NNP GZC Car '1BLUE', Person 'C'",2
1201,"NNP GZC Car '1WHITE', Person 'A'",1
1585,"NNP GZC Car '1PURPLE', Person 'D'",1
792,"NNP GZC Car '11WHITE', Person 'A'",2
278,"NNP GZC Car '3RED', Person 'A'",1
2041,"NNP GZC Car '6RED', Person 'A'",1
624,"NNP GZC Car '1PURPLE', Person 'B'",1
1486,"NNP GZC Car '1PURPLE', Person 'B'",1
1206,"NNP GZC Car '12WHITE', Person 'A'",1
406,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
667,"NNP GZC Car '14WHITE', Person 'A'",1
182,"NNP GZC Car '6WHITE', Person 'B'",1
721,"NNP GZC Car '5WHITE', Person 'A'",1
523,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
329,"NNP GZC Car '25PURPLE', Person 'A'",6
1511,"NNP GZC Car '1PURPLE', Person 'A'",2
1262,"NNP GZC Car '1WHITE', Person 'A'",1
282,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",6
954,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
535,"NNP GZC Car '1BLUE', Person 'B'",2
1867,"NNP GZC Car '2RED', Person 'A'",10
1906,"NNP GZC Car '2RED', Person 'A'",1
503,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",4
1479,"NNP GZC Car '14WHITE', Person 'A'",2
942,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
2130,"NNP GZC Car '17WHITE', Person 'C'",3
1591,"NNP GZC Car '2RED', Person 'B'",1
1885,"NNP GZC Car '3RED', Person 'A'",2
2169,"NNP GZC Car '1PURPLE', Person 'D'",2
1683,"NNP GZC Car '1BLUE', Person 'A'",1
207,"NNP GZC Car '5WHITE', Person 'A'",1
493,"NNP GZC Car '6RED', Person 'A'",4
355,"NNP GZC Car '1PURPLE', Person 'A'",4
1694,"NNP GZC Car '5WHITE', Person 'A'",1
1566,"NNP GZC Car '1RED', Person 'B'",1
386,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",4
1838,"NNP GZC Car '13WHITE', Person 'B'",2
1581,"NNP GZC Car '1PURPLE', Person 'D'",1
1659,"NNP GZC Car '4RED', Person 'A'",1
1769,"NNP GZC Car '8WHITE', Person 'A'",3
691,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1623,"NNP GZC Car '1RED', Person 'B'",1
