AID,GID,NID,CONTRIBUTOR
9053,8334,60,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
8808,9369,82,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9429,837,273,"NNP GZC Car '15WHITE', Person 'A'"
8863,3303,49,"NNP GZC Car '1WHITE', Person 'B'"
9244,2115,161,"NNP GZC Car '1PURPLE', Person 'D'"
9651,7090,182,"NNP GZC Car '6WHITE', Person 'B'"
9138,8343,97,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9571,5836,124,"NNP GZC Car '4WHITE', Person 'A'"
8892,3141,74,"NNP GZC Car '1WHITE', Person 'A'"
8856,3147,92,"NNP GZC Car '1WHITE', Person 'A'"
9889,5572,153,"NNP GZC Car '3WHITE', Person 'A'"
9546,2118,161,"NNP GZC Car '1PURPLE', Person 'D'"
9171,2069,164,"NNP GZC Car '1PURPLE', Person 'C'"
9164,346,172,"NNP GZC Car '12WHITE', Person 'A'"
8813,9351,83,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8898,8333,60,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9023,7920,98,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
8934,3307,80,"NNP GZC Car '1WHITE', Person 'C'"
8959,9297,43,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9734,1318,131,"NNP GZC Car '1BLUE', Person 'B'"
9145,8364,19,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9178,229,172,"NNP GZC Car '11WHITE', Person 'A'"
9042,9227,54,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
